City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Bengkulu,ID,76.33,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
29,Alta Floresta,BR,77.38,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
36,Butaritari,KI,82.56,few clouds,3.0707,172.7902,Isles Sunset Lodge
37,Ibra,OM,77.77,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
41,Meulaboh,ID,75.97,overcast clouds,4.1363,96.1285,Kost Pria
45,Vaini,TO,77.04,overcast clouds,-21.2,-175.2,Keleti Beach Resort
46,Akhnur,IN,84.33,overcast clouds,32.8667,74.7333,Makhu rajput
51,Mecca,SA,88.7,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
64,Kapaa,US,85.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
74,Sakakah,SA,84.63,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
81,Faanui,PF,79.72,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Port Alfred,ZA,76.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
90,Basmat,IN,82.72,overcast clouds,19.3167,77.1667,Lakshmi-Narayan
96,Kencong,ID,76.82,broken clouds,-8.2833,113.3667,GUBUK SUGIANTO
103,East London,ZA,75.72,overcast clouds,-33.0153,27.9116,Tu Casa
107,Hithadhoo,MV,83.62,light rain,-0.6,73.0833,Scoop Guest House
111,Auki,SB,85.05,few clouds,-8.7676,160.7034,Auki Motel
112,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
113,Salinopolis,BR,78.67,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
121,Kavieng,PG,83.01,light rain,-2.5744,150.7967,Nusa Island Retreat
123,Virginia Beach,US,80.06,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
129,Ciudad Bolivar,VE,75.67,overcast clouds,8.1222,-63.5497,Hotel Edi
130,Ranong,TH,79.9,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
135,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
137,Touros,BR,76.57,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
139,Kilindoni,TZ,78.87,few clouds,-7.9139,39.6668,Bustani B&B
141,Atuona,PF,77.88,broken clouds,-9.8,-139.0333,Villa Enata
143,Hong Gai,VN,84.11,overcast clouds,20.956,107.0946,Hạ Long DC Hotel
145,Mayo,US,80.19,clear sky,38.8876,-76.5119,Resorts Resource Group International
148,Dogondoutchi,NE,89.04,light rain,13.6393,4.0287,Hôtel Alheri Maison Alheri
150,Jashpurnagar,IN,80.1,broken clouds,22.9,84.15,Sagar Restaurant
156,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
159,Sorong,ID,79.95,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
160,Tulagi,SB,82.74,clear sky,-9.0996,160.1476,Raiders Hotel & Dive
162,Wewak,PG,81.46,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
166,Hobyo,SO,78.44,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
176,Matay,EG,78.3,clear sky,28.419,30.7792,Nag Aespen
180,Boueni,YT,76.98,clear sky,-12.9025,45.0761,The feet in water
184,Roura,GF,81.97,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
186,Natal,BR,75.58,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
193,Bani,DO,78.75,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
195,Tabas,IR,83.98,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
197,Isabela,PH,81.86,heavy intensity rain,6.7085,121.9711,Isawad Resort
198,Elizabeth City,US,78.82,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
199,Port-Gentil,GA,77.52,light rain,-0.7193,8.7815,Fengshui Residence
202,Grand Forks,US,82.13,broken clouds,47.9417,-97.4337,Warrior Inn
208,Pathein,MM,79.56,overcast clouds,16.7833,94.7333,Pathein Hotel
217,Miaga,PH,83.93,overcast clouds,12.2376,123.8167,Magcaraguit Resort
218,Tautira,PF,78.13,scattered clouds,-17.7333,-149.15,Pension Oaoa
221,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
227,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
229,Labuhan,ID,78.93,overcast clouds,-6.8844,112.2051,DoubleFAG
236,Kutum,SD,78.39,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
242,Hambantota,LK,80.22,overcast clouds,6.1241,81.1185,Bungalow 63
243,Kudahuvadhoo,MV,83.26,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
244,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
245,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
253,Lompoc,US,86.02,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
263,Kerema,PG,81.68,broken clouds,-7.9631,145.7785,Frena Lodge
265,Matara,LK,78.51,light rain,5.9485,80.5353,Amaloh Boutique Resort
270,Manokwari,ID,83.17,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
271,Wahpeton,US,86.02,clear sky,46.2652,-96.6059,Select Inn Breckenridge
272,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
274,Kattivakkam,IN,83.07,overcast clouds,13.2167,80.3167,Euronova Freezer
276,Dancheng,CN,78.94,broken clouds,33.6333,115.1833,Home Inn
277,Waingapu,ID,78.82,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
278,Bandarbeyla,SO,80.65,overcast clouds,9.4942,50.8122,JABIR HOTEL
279,Samarai,PG,82.83,scattered clouds,-10.6167,150.6667,Nuli Sapi
281,Dingle,PH,82.78,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
282,Key West,US,89.6,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
285,Steamboat Springs,US,85.59,clear sky,40.485,-106.8317,Steamboat Grand
289,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
292,Muisne,EC,75.76,broken clouds,0.6,-80.0333,Quinta Samay
294,Eyl,SO,81.19,overcast clouds,7.9803,49.8164,Amiin Hotel
295,Korla,CN,82.04,few clouds,41.7597,86.1469,Gulisitan Hotel
306,Arawa,PG,85.98,broken clouds,-6.2132,155.5367,Coastline Guest House
308,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
